Dateline Standard Time,001,Etc/GMT+12
Dateline Standard Time,ZZ,Etc/GMT+12
UTC-11,001,Etc/GMT+11
UTC-11,AS,Pacific/Pago_Pago
UTC-11,NU,Pacific/Niue
UTC-11,UM,Pacific/Midway
UTC-11,ZZ,Etc/GMT+11
Aleutian Standard Time,001,America/Adak
Aleutian Standard Time,US,America/Adak
Hawaiian Standard Time,001,Pacific/Honolulu
Hawaiian Standard Time,CK,Pacific/Rarotonga
Hawaiian Standard Time,PF,Pacific/Tahiti
Hawaiian Standard Time,UM,Pacific/Johnston
Hawaiian Standard Time,US,Pacific/Honolulu
Hawaiian Standard Time,ZZ,Etc/GMT+10
Marquesas Standard Time,001,Pacific/Marquesas
Marquesas Standard Time,PF,Pacific/Marquesas
Alaskan Standard Time,001,America/Anchorage
Alaskan Standard Time,US,America/Anchorage America/Juneau America/Metlakatla America/Nome America/Sitka America/Yakutat
UTC-09,001,Etc/GMT+9
UTC-09,PF,Pacific/Gambier
UTC-09,ZZ,Etc/GMT+9
Pacific Standard Time (Mexico),001,America/Tijuana
Pacific Standard Time (Mexico),MX,America/Tijuana America/Santa_Isabel
UTC-08,001,Etc/GMT+8
UTC-08,PN,Pacific/Pitcairn
UTC-08,ZZ,Etc/GMT+8
Pacific Standard Time,001,America/Los_Angeles
Pacific Standard Time,CA,America/Vancouver
Pacific Standard Time,US,America/Los_Angeles
Pacific Standard Time,ZZ,PST8PDT
US Mountain Standard Time,001,America/Phoenix
US Mountain Standard Time,CA,America/Creston America/Dawson_Creek America/Fort_Nelson
US Mountain Standard Time,MX,America/Hermosillo
US Mountain Standard Time,US,America/Phoenix
US Mountain Standard Time,ZZ,Etc/GMT+7
Mountain Standard Time (Mexico),001,America/Mazatlan
Mountain Standard Time (Mexico),MX,America/Mazatlan
Mountain Standard Time,001,America/Denver
Mountain Standard Time,CA,America/Edmonton America/Cambridge_Bay America/Inuvik America/Yellowknife
Mountain Standard Time,MX,America/Ciudad_Juarez
Mountain Standard Time,US,America/Denver America/Boise
Mountain Standard Time,ZZ,MST7MDT
Yukon Standard Time,001,America/Whitehorse
Yukon Standard Time,CA,America/Whitehorse America/Dawson
Central America Standard Time,001,America/Guatemala
Central America Standard Time,BZ,America/Belize
Central America Standard Time,CR,America/Costa_Rica
Central America Standard Time,EC,Pacific/Galapagos
Central America Standard Time,GT,America/Guatemala
Central America Standard Time,HN,America/Tegucigalpa
Central America Standard Time,NI,America/Managua
Central America Standard Time,SV,America/El_Salvador
Central America Standard Time,ZZ,Etc/GMT+6
Central Standard Time,001,America/Chicago
Central Standard Time,CA,America/Winnipeg America/Rainy_River America/Rankin_Inlet America/Resolute
Central Standard Time,MX,America/Matamoros America/Ojinaga
Central Standard Time,US,America/Chicago America/Indiana/Knox America/Indiana/Tell_City America/Menominee America/North_Dakota/Beulah America/North_Dakota/Center America/North_Dakota/New_Salem
Central Standard Time,ZZ,CST6CDT
Easter Island Standard Time,001,Pacific/Easter
Easter Island Standard Time,CL,Pacific/Easter
Central Standard Time (Mexico),001,America/Mexico_City
Central Standard Time (Mexico),MX,America/Mexico_City America/Bahia_Banderas America/Merida America/Monterrey America/Chihuahua
Canada Central Standard Time,001,America/Regina
Canada Central Standard Time,CA,America/Regina America/Swift_Current
SA Pacific Standard Time,001,America/Bogota
SA Pacific Standard Time,BR,America/Rio_Branco America/Eirunepe
SA Pacific Standard Time,CA,America/Coral_Harbour
SA Pacific Standard Time,CO,America/Bogota
SA Pacific Standard Time,EC,America/Guayaquil
SA Pacific Standard Time,JM,America/Jamaica
SA Pacific Standard Time,KY,America/Cayman
SA Pacific Standard Time,PA,America/Panama
SA Pacific Standard Time,PE,America/Lima
SA Pacific Standard Time,ZZ,Etc/GMT+5
Eastern Standard Time (Mexico),001,America/Cancun
Eastern Standard Time (Mexico),MX,America/Cancun
Eastern Standard Time,001,America/New_York
Eastern Standard Time,BS,America/Nassau
Eastern Standard Time,CA,America/Toronto America/Iqaluit America/Montreal America/Nipigon America/Pangnirtung America/Thunder_Bay
Eastern Standard Time,US,America/New_York America/Detroit America/Indiana/Petersburg America/Indiana/Vincennes America/Indiana/Winamac America/Kentucky/Monticello America/Louisville
Eastern Standard Time,ZZ,EST5EDT
Haiti Standard Time,001,America/Port-au-Prince
Haiti Standard Time,HT,America/Port-au-Prince
Cuba Standard Time,001,America/Havana
Cuba Standard Time,CU,America/Havana
US Eastern Standard Time,001,America/Indianapolis
US Eastern Standard Time,US,America/Indianapolis America/Indiana/Marengo America/Indiana/Vevay
Turks And Caicos Standard Time,001,America/Grand_Turk
Turks And Caicos Standard Time,TC,America/Grand_Turk
Paraguay Standard Time,001,America/Asuncion
Paraguay Standard Time,PY,America/Asuncion
Atlantic Standard Time,001,America/Halifax
Atlantic Standard Time,BM,Atlantic/Bermuda
Atlantic Standard Time,CA,America/Halifax America/Glace_Bay America/Goose_Bay America/Moncton
Atlantic Standard Time,GL,America/Thule
Venezuela Standard Time,001,America/Caracas
Venezuela Standard Time,VE,America/Caracas
Central Brazilian Standard Time,001,America/Cuiaba
Central Brazilian Standard Time,BR,America/Cuiaba America/Campo_Grande
SA Western Standard Time,001,America/La_Paz
SA Western Standard Time,AG,America/Antigua
SA Western Standard Time,AI,America/Anguilla
SA Western Standard Time,AW,America/Aruba
SA Western Standard Time,BB,America/Barbados
SA Western Standard Time,BL,America/St_Barthelemy
SA Western Standard Time,BO,America/La_Paz
SA Western Standard Time,BQ,America/Kralendijk
SA Western Standard Time,BR,America/Manaus America/Boa_Vista America/Porto_Velho
SA Western Standard Time,CA,America/Blanc-Sablon
SA Western Standard Time,CW,America/Curacao
SA Western Standard Time,DM,America/Dominica
SA Western Standard Time,DO,America/Santo_Domingo
SA Western Standard Time,GD,America/Grenada
SA Western Standard Time,GP,America/Guadeloupe
SA Western Standard Time,GY,America/Guyana
SA Western Standard Time,KN,America/St_Kitts
SA Western Standard Time,LC,America/St_Lucia
SA Western Standard Time,MF,America/Marigot
SA Western Standard Time,MQ,America/Martinique
SA Western Standard Time,MS,America/Montserrat
SA Western Standard Time,PR,America/Puerto_Rico
SA Western Standard Time,SX,America/Lower_Princes
SA Western Standard Time,TT,America/Port_of_Spain
SA Western Standard Time,VC,America/St_Vincent
SA Western Standard Time,VG,America/Tortola
SA Western Standard Time,VI,America/St_Thomas
SA Western Standard Time,ZZ,Etc/GMT+4
Pacific SA Standard Time,001,America/Santiago
Pacific SA Standard Time,CL,America/Santiago
Newfoundland Standard Time,001,America/St_Johns
Newfoundland Standard Time,CA,America/St_Johns
Tocantins Standard Time,001,America/Araguaina
Tocantins Standard Time,BR,America/Araguaina
E. South America Standard Time,001,America/Sao_Paulo
E. South America Standard Time,BR,America/Sao_Paulo
SA Eastern Standard Time,001,America/Cayenne
SA Eastern Standard Time,AQ,Antarctica/Rothera Antarctica/Palmer
SA Eastern Standard Time,BR,America/Fortaleza America/Belem America/Maceio America/Recife America/Santarem
SA Eastern Standard Time,FK,Atlantic/Stanley
SA Eastern Standard Time,GF,America/Cayenne
SA Eastern Standard Time,SR,America/Paramaribo
SA Eastern Standard Time,ZZ,Etc/GMT+3
Argentina Standard Time,001,America/Buenos_Aires
Argentina Standard Time,AR,America/Buenos_Aires America/Argentina/La_Rioja America/Argentina/Rio_Gallegos America/Argentina/Salta America/Argentina/San_Juan America/Argentina/San_Luis America/Argentina/Tucuman America/Argentina/Ushuaia America/Catamarca America/Cordoba America/Jujuy America/Mendoza
Greenland Standard Time,001,America/Godthab
Greenland Standard Time,GL,America/Godthab
Montevideo Standard Time,001,America/Montevideo
Montevideo Standard Time,UY,America/Montevideo
Magallanes Standard Time,001,America/Punta_Arenas
Magallanes Standard Time,CL,America/Punta_Arenas
Saint Pierre Standard Time,001,America/Miquelon
Saint Pierre Standard Time,PM,America/Miquelon
Bahia Standard Time,001,America/Bahia
Bahia Standard Time,BR,America/Bahia
UTC-02,001,Etc/GMT+2
UTC-02,BR,America/Noronha
UTC-02,GS,Atlantic/South_Georgia
UTC-02,ZZ,Etc/GMT+2
Azores Standard Time,001,Atlantic/Azores
Azores Standard Time,GL,America/Scoresbysund
Azores Standard Time,PT,Atlantic/Azores
Cape Verde Standard Time,001,Atlantic/Cape_Verde
Cape Verde Standard Time,CV,Atlantic/Cape_Verde
Cape Verde Standard Time,ZZ,Etc/GMT+1
UTC,001,Etc/UTC
UTC,ZZ,Etc/UTC Etc/GMT
GMT Standard Time,001,Europe/London
GMT Standard Time,ES,Atlantic/Canary
GMT Standard Time,FO,Atlantic/Faeroe
GMT Standard Time,GB,Europe/London
GMT Standard Time,GG,Europe/Guernsey
GMT Standard Time,IE,Europe/Dublin
GMT Standard Time,IM,Europe/Isle_of_Man
